Datum;BundeslandID;Bevölkerung;Name;GemeldeteImpfungenLaender;GemeldeteImpfungenLaenderPro100
2021-02-03T23:59:59+01:00;1;294436;Burgenland;6092;02.Jul
2021-02-03T23:59:59+01:00;2;561293;Kärnten;17487;03.Dez
2021-02-03T23:59:59+01:00;3;1684287;Niederösterreich;48456;Feb.88
2021-02-03T23:59:59+01:00;4;1490279;Oberösterreich;45192;03.Mär
2021-02-03T23:59:59+01:00;5;558410;Salzburg;12125;Feb.17
2021-02-03T23:59:59+01:00;6;1246395;Steiermark;40974;Mär.29
2021-02-03T23:59:59+01:00;7;757634;Tirol;17148;Feb.26
2021-02-03T23:59:59+01:00;8;397139;Vorarlberg;12677;Mär.19
2021-02-03T23:59:59+01:00;9;1911191;Wien;52556;Feb.75
2021-02-03T23:59:59+01:00;10;8901064;Österreich;252707;Feb.84
2021-02-04T23:59:59+01:00;1;294436;Burgenland;6097;02.Jul
2021-02-04T23:59:59+01:00;2;561293;Kärnten;19553;Mär.48
2021-02-04T23:59:59+01:00;3;1684287;Niederösterreich;50760;03.Jän
2021-02-04T23:59:59+01:00;4;1490279;Oberösterreich;45210;03.Mär
2021-02-04T23:59:59+01:00;5;558410;Salzburg;13248;Feb.37
2021-02-04T23:59:59+01:00;6;1246395;Steiermark;40974;Mär.29
2021-02-04T23:59:59+01:00;7;757634;Tirol;19185;Feb.53
2021-02-04T23:59:59+01:00;8;397139;Vorarlberg;12677;Mär.19
2021-02-04T23:59:59+01:00;9;1911191;Wien;54375;Feb.85
2021-02-04T23:59:59+01:00;10;8901064;Österreich;262079;Feb.94
2021-02-05T23:59:59+01:00;1;294436;Burgenland;6111;02.Aug
2021-02-05T23:59:59+01:00;2;561293;Kärnten;21100;Mär.76
2021-02-05T23:59:59+01:00;3;1684287;Niederösterreich;52296;03.Okt
2021-02-05T23:59:59+01:00;4;1490279;Oberösterreich;45516;03.Mai
2021-02-05T23:59:59+01:00;5;558410;Salzburg;14716;Feb.64
2021-02-05T23:59:59+01:00;6;1246395;Steiermark;46134;Mär.70
2021-02-05T23:59:59+01:00;7;757634;Tirol;20692;Feb.73
2021-02-05T23:59:59+01:00;8;397139;Vorarlberg;12807;Mär.22
2021-02-05T23:59:59+01:00;9;1911191;Wien;58059;03.Apr
2021-02-05T23:59:59+01:00;10;8901064;Österreich;277431;03.Dez
2021-02-06T23:59:59+01:00;1;294436;Burgenland;6147;02.Sep
2021-02-06T23:59:59+01:00;2;561293;Kärnten;21616;Mär.85
2021-02-06T23:59:59+01:00;3;1684287;Niederösterreich;53322;Mär.17
2021-02-06T23:59:59+01:00;4;1490279;Oberösterreich;46205;03.Okt
2021-02-06T23:59:59+01:00;5;558410;Salzburg;14776;Feb.65
2021-02-06T23:59:59+01:00;6;1246395;Steiermark;48984;Mär.93
2021-02-06T23:59:59+01:00;7;757634;Tirol;20692;Feb.73
2021-02-06T23:59:59+01:00;8;397139;Vorarlberg;12807;Mär.22
2021-02-06T23:59:59+01:00;9;1911191;Wien;60029;Mär.14
2021-02-06T23:59:59+01:00;10;8901064;Österreich;284578;Mär.20
2021-02-07T23:59:59+01:00;1;294436;Burgenland;6148;02.Sep
2021-02-07T23:59:59+01:00;2;561293;Kärnten;22833;04.Jul
2021-02-07T23:59:59+01:00;3;1684287;Niederösterreich;54066;Mär.21
2021-02-07T23:59:59+01:00;4;1490279;Oberösterreich;46267;03.Okt
2021-02-07T23:59:59+01:00;5;558410;Salzburg;14996;Feb.69
2021-02-07T23:59:59+01:00;6;1246395;Steiermark;48984;Mär.93
2021-02-07T23:59:59+01:00;7;757634;Tirol;20692;Feb.73
2021-02-07T23:59:59+01:00;8;397139;Vorarlberg;13691;Mär.45
2021-02-07T23:59:59+01:00;9;1911191;Wien;62277;Mär.26
2021-02-07T23:59:59+01:00;10;8901064;Österreich;289954;Mär.26
2021-02-08T23:59:59+01:00;1;294436;Burgenland;6148;02.Sep
2021-02-08T23:59:59+01:00;2;561293;Kärnten;23564;Apr.20
2021-02-08T23:59:59+01:00;3;1684287;Niederösterreich;54066;Mär.21
2021-02-08T23:59:59+01:00;4;1490279;Oberösterreich;46267;03.Okt
2021-02-08T23:59:59+01:00;5;558410;Salzburg;15856;Feb.84
2021-02-08T23:59:59+01:00;6;1246395;Steiermark;49254;Mär.95
2021-02-08T23:59:59+01:00;7;757634;Tirol;22655;Feb.99
2021-02-08T23:59:59+01:00;8;397139;Vorarlberg;13691;Mär.45
2021-02-08T23:59:59+01:00;9;1911191;Wien;66694;Mär.49
2021-02-08T23:59:59+01:00;10;8901064;Österreich;298195;Mär.35
2021-02-09T23:59:59+01:00;1;294436;Burgenland;6169;02.Okt
2021-02-09T23:59:59+01:00;2;561293;Kärnten;24471;Apr.36
2021-02-09T23:59:59+01:00;3;1684287;Niederösterreich;61104;Mär.63
2021-02-09T23:59:59+01:00;4;1490279;Oberösterreich;46267;03.Okt
2021-02-09T23:59:59+01:00;5;558410;Salzburg;17184;03.Aug
2021-02-09T23:59:59+01:00;6;1246395;Steiermark;49254;Mär.95
2021-02-09T23:59:59+01:00;7;757634;Tirol;23729;Mär.13
2021-02-09T23:59:59+01:00;8;397139;Vorarlberg;13962;Mär.52
2021-02-09T23:59:59+01:00;9;1911191;Wien;69081;Mär.61
2021-02-09T23:59:59+01:00;10;8901064;Österreich;311221;Mär.50
2021-02-10T23:59:59+01:00;1;294436;Burgenland;6170;02.Okt
2021-02-10T23:59:59+01:00;2;561293;Kärnten;25819;Apr.60
2021-02-10T23:59:59+01:00;3;1684287;Niederösterreich;64584;Mär.83
2021-02-10T23:59:59+01:00;4;1490279;Oberösterreich;46488;03.Dez
2021-02-10T23:59:59+01:00;5;558410;Salzburg;18499;Mär.31
2021-02-10T23:59:59+01:00;6;1246395;Steiermark;55812;Apr.48
2021-02-10T23:59:59+01:00;7;757634;Tirol;25113;Mär.31
2021-02-10T23:59:59+01:00;8;397139;Vorarlberg;13962;Mär.52
2021-02-10T23:59:59+01:00;9;1911191;Wien;73434;Mär.84
2021-02-10T23:59:59+01:00;10;8901064;Österreich;329881;Mär.71
2021-02-11T23:59:59+01:00;1;294436;Burgenland;6188;02.Okt
2021-02-11T23:59:59+01:00;2;561293;Kärnten;25819;Apr.60
2021-02-11T23:59:59+01:00;3;1684287;Niederösterreich;67080;Mär.98
2021-02-11T23:59:59+01:00;4;1490279;Oberösterreich;46507;03.Dez
2021-02-11T23:59:59+01:00;5;558410;Salzburg;19585;Mär.51
2021-02-11T23:59:59+01:00;6;1246395;Steiermark;58682;Apr.71
2021-02-11T23:59:59+01:00;7;757634;Tirol;26488;Mär.50
2021-02-11T23:59:59+01:00;8;397139;Vorarlberg;13997;Mär.52
2021-02-11T23:59:59+01:00;9;1911191;Wien;78723;04.Dez
2021-02-11T23:59:59+01:00;10;8901064;Österreich;343069;Mär.85
2021-02-12T23:59:59+01:00;1;294436;Burgenland;6201;02.Nov
2021-02-12T23:59:59+01:00;2;561293;Kärnten;27940;Apr.98
2021-02-12T23:59:59+01:00;3;1684287;Niederösterreich;68184;04.Mai
2021-02-12T23:59:59+01:00;4;1490279;Oberösterreich;46877;Mär.15
2021-02-12T23:59:59+01:00;5;558410;Salzburg;24119;Apr.32
